feature,mean_importance
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C6),-2.2204460492503132e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),-2.2204460492503132e-17
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),-2.2204460492503132e-17
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),-2.2204460492503132e-17
Malic_enzyme_(NADP),-2.2204460492503132e-17
D-xylose_transport_via_ABC_system,-2.2204460492503132e-17
Phosphogluconate_dehydrogenase_(NAD),-2.2204460492503132e-17
D-lactate_dehydrogenase,-2.2204460492503132e-17
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),-2.2204460492503132e-17
Propionyl-CoA_carboxylase,-2.2204460492503132e-17
Lactose-galactose_antiporter,-2.2204460492503132e-17
Pyruvate_carboxylase,-2.2204460492503132e-17
Phosphogluconate_dehydrogenase,-2.2204460492503132e-17
Lactose_transport_via_proton_symport,-2.2204460492503132e-17
Methylmalonyl-CoA_mutase,-2.2204460492503132e-17
Glycerol_kinase,-2.2204460492503132e-17
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),-2.2204460492503132e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),-2.2204460492503132e-17
Acetyl-CoA_C-acetyltransferase,-2.2204460492503132e-17
complex_CoA_Transferase_(C7-0-C2-0),-2.2204460492503132e-17
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,-2.2204460492503132e-17
CoA_Transferase_(C8-0-C2-0),-2.2204460492503132e-17
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,-2.2204460492503132e-17
Glycerol-3-phosphate_dehydrogenase_(NAD),-2.2204460492503132e-17
Transketolase_2,-2.2204460492503132e-17
2-oxoglutarate_ferredoxin_oxidoreductase,-2.2204460492503132e-17
Succinyl-CoA-acetate_CoA_transferase,-2.2204460492503132e-17
Citrate_synthase,-2.2204460492503132e-17
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),-2.2204460492503132e-17
Galactokinase,-2.2204460492503132e-17
Tagatose-bisphosphate_aldolase,-2.2204460492503132e-17
Ferredoxin---NADP+_reductase,-2.2204460492503132e-17
Pyruvate_decarboxylase,-2.2204460492503132e-17
Glycerol-3-phosphate_dehydrogenase_(NADP),-2.2204460492503132e-17
Xylulokinase,-2.2204460492503132e-17
complex_CoA_Transferase_(C4-0-C2-0),-2.2204460492503132e-17
Glucose_6_phosphate_isomerase,0.0
Glucose-6-phosphate_isomerase,0.0
Glucose_6-phosphate_dehydrogenase,0.0
3-hexulose-6-phosphate_synthase,0.0
(FeFe)-hydrogenase-_cytoplasm,0.0
4-hydroxybutanoyl-CoA_dehydratase,0.006424863120393498
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.0171574492773233
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.022112807593480287
Methylglyoxal_synthase,0.03390125524526575
complex_CoA_Transferase_(C5-0-C2-0),0.038576959690388254
complex_CoA_Transferase_(C6-0-C2-0),0.05392466334243218
Phosphoketolase_(fructose-6-phosphate_utilizing),0.058021203573191626
4-hydroxybutyrate_coenzyme_a_transferase,0.17937239066452268
complex_Pyruvate_flavodoxin_oxidoreductase,0.18520827791868483
