feature,mean_importance
Acyl-CoA_dehydrogenase_(octanoyl-CoA),0.0
Transaldolase,0.0
Transketolase_2,0.0
Isocitrate_dehydrogenase_(NADP),0.0
Lactose_transport_via_PEP-Pyr_PTS,0.0
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),0.0
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
FMN_reductase,0.0
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),3.963573412460452e-06
NAD(P)_transhydrogenase,3.07693400166259e-05
Lactaldehyde_dehydrogenase,4.101508212360494e-05
Deoxyribokinase,4.562617025592186e-05
6-phospho-beta-galactosidase,4.614653404463459e-05
5-10-methylenetetrahydrofolate_reductase_(NADH),5.5980204011905896e-05
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),7.686070589856819e-05
Tagatose-6-phosphate_kinase,8.894901892001066e-05
Propanoyl-CoA-_succinate_CoA-transferase,0.00010922869498079385
Lactose-galactose_antiporter,0.00012141516940160357
Galactokinase,0.00020105895501646153
Acyl-CoA_dehydrogenase_(butanoyl-CoA),0.0002054897898977448
Tagatose-bisphosphate_aldolase,0.00026945068754933297
Aconitate_hydratase,0.0004170471802353859
Gamma-hydroxybutyrate_dehydrogenase_(NADH),0.00044031122868711523
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),0.00047815903513269143
D-glucose_transport_via_PEP-Pyr_PTS,0.0006455519067292872
NAD_kinase,0.0006516023454341019
Phosphoenolpyruvate_carboxykinase_(ATP),0.0010482844981280256
(FeFe)-hydrogenase-_cytoplasm,0.0013405354862863373
Dihydroxyacetone_kinase,0.001352004008367659
4-hydroxybutanoyl-CoA_dehydratase,0.0016428726513616058
Phosphofructokinase,0.001973512049087069
Transketolase_1,0.0020555195356295867
Acetyl-CoA_carboxylase,0.0021259579807519926
Aspartate_transaminase,0.0021348675501278863
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.002195881074294448
Electron_bifurcating_lactate_dehydrogenase,0.0023678465069017635
Pyruvate_carboxylase,0.0032155276191505517
Phosphoglycerate_mutase,0.004543933407826856
Deoxyribose-phosphate_aldolase,0.00972863240590827
Malate_dehydrogenase,0.010794816115363077
Isocitrate_dehydrogenase_(NAD),0.013156462960283864
B-galactosidase,0.0163571478925984
complex_CoA_Transferase_(C4-0-C2-0),0.049767680428075514
4-hydroxybutyrate_coenzyme_a_transferase,0.07052336649715223
Xylulokinase,0.10466178622604771
Phosphoketolase_(fructose-6-phosphate_utilizing),0.17343050397678533
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.19178172642449764
Methylglyoxal_synthase,0.23117918340404603
complex_Pyruvate_flavodoxin_oxidoreductase,0.26606188511729917
