feature,mean_importance
Hydroxyacylglutathione_hydrolase,-2.2204460492503132e-17
Xylulokinase,-2.2204460492503132e-17
NAD_kinase,-2.2204460492503132e-17
Glycerol_kinase,-2.2204460492503132e-17
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,-2.2204460492503132e-17
6-phosphogluconolactonase,-2.2204460492503132e-17
Acetyl-CoA_C-acetyltransferase,-2.2204460492503132e-17
complex_Hydroxy-Acyl-CoA_Thioesterase,-2.2204460492503132e-17
D-glucose_transport_via_PEP-Pyr_PTS,-2.2204460492503132e-17
6-phospho-beta-galactosidase,-2.2204460492503132e-17
Lactose-galactose_antiporter,-2.2204460492503132e-17
Propionate_CoA_Transferase,-2.2204460492503132e-17
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),-2.2204460492503132e-17
Transketolase_2,-2.2204460492503132e-17
D_galactose_transport_via_proton_symport,-2.2204460492503132e-17
Alcohol_dehydrogenase_(ethanol),-2.2204460492503132e-17
complex_CoA_Transferase_(C7-0-C2-0),-2.2204460492503132e-17
CoA_Transferase_(C8-0-C2-0),-2.2204460492503132e-17
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),-2.2204460492503132e-17
Formate-tetrahydrofolate_ligase,-2.2204460492503132e-17
5-10-methylenetetrahydrofolate_reductase_(NADH),-2.2204460492503132e-17
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),-2.2204460492503132e-17
Succinyl-CoA-acetate_CoA_transferase,-2.2204460492503132e-17
Xylose_isomerase,-2.2204460492503132e-17
Lactose_transport_via_proton_symport,0.0
Lactose_transport_via_PEP-Pyr_PTS,0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
Ribose-5-phosphate_isomerase,0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
Succinate-semialdehyde_dehydrogenase_(NAD),0.0
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.0
Ribokinase,0.0
ATP_Citrate_Lyase,0.0
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.0
Galactokinase,0.0
Acyl-CoA_dehydrogenase_(octanoyl-CoA),0.0
NAD(P)_transhydrogenase,0.0
Pyruvate_formate_lyase,0.0
Malic_Enzyme_(NAD),0.0
Acetyl-CoA_synthase,0.0
Transketolase_1,0.0
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,0.0
4-hydroxybutanoyl-CoA_dehydratase,0.006424863120393453
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.017157449277323322
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.022112807593480267
Methylglyoxal_synthase,0.03390125524526577
complex_CoA_Transferase_(C5-0-C2-0),0.0385769596903883
complex_CoA_Transferase_(C6-0-C2-0),0.05392466334243222
Phosphoketolase_(fructose-6-phosphate_utilizing),0.058021203573191585
4-hydroxybutyrate_coenzyme_a_transferase,0.17937239066452268
complex_Pyruvate_flavodoxin_oxidoreductase,0.1852082779186848
