feature,shap_importance
Pyruvate_kinase,0.0
Pyruvate_formate_lyase,0.0
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),0.0
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,0.0
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
Electron_bifurcating_lactate_dehydrogenase,0.0
Acryloyl-CoA_reductase,0.0
Acyl-CoA_dehydrogenase_(butanoyl-CoA),0.0
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),0.0
Acyl-CoA_dehydrogenase_(octanoyl-CoA),0.0
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
5-10-methylenetetrahydrofolate_reductase_(NADH),0.0
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,0.0
FMN_reductase,0.0
NAD(P)_transhydrogenase,0.0
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),0.0
Transketolase_1,0.0
Transketolase_2,0.0
Transaldolase,0.0
Lactate_CoA_transferase_(acetyl-CoA),0.0
